Jaar,LEEFTIJD,GESLACHT,vervoerwijze,vervoerwijzefilter,wegvak/kruispunt,wegbeheerder,wegnummer,HECTOMETER,STRAAT1,STRAAT2,STRAAT3,GEMEENTE,PROVINCIE,type locatie,X_COORD,Y_COORD,Lat,Lon
2006,21,M,Personenauto,1,492589012,,,,Wirdumerweg,Veldzicht,Fromaweg,Loppersum,Groningen,W,246993,594151,53.32585939,6.767894525
2006,52,M,Voetganger,3,493375001,,,,Tichelweg,Looweg,Gravendijk,Tubbergen,Overijssel,W,247031,487771,52.37009132,6.738583702
2006,74,V,Fiets,2,494327033,,,,Dr. Ariensstraat,Lansinkstraat,Lansinkstraat,Haaksbergen,Overijssel,K,247331,463936,52.15586637,6.736473547
2006,85,M,Personenauto,1,494557007,,,,Buitenhuizen,Hoofdweg,Hoofdweg,Slochteren,Groningen,K,247109,578678,53.18684087,6.765191082
2006,40,M,Personenauto,1,496572001,,,,Meenteweg,Schildmaarweg,Uiterburenweg,Slochteren,Groningen,W,248673,585837,53.25088149,6.790669233
2006,66,M,Fiets,2,498327012,,,,Buurserstraat,Kalkovenweg,Schansweg,Haaksbergen,Overijssel,W,249403,463646,52.15291022,6.766663622
2006,40,V,Personenauto,1,498498086,,,,PROV WG,PROV WG,RYKSWG,Borger-Odoorn,Drenthe,K,249034,549365,52.92316429,6.785477743
2006,15,M,KART,5,503339003,,,,Windmolenweg,Boekelosebleekweg,Molenveld,Enschede,Overijssel,W,251679,470156,52.21101322,6.801767166
2006,16,M,Fiets,2,503378021,,,,Ootmarsumseweg,Pastoor Boddestraat,B Meenweg,Tubbergen,Overijssel,W,251783,489045,52.38072128,6.808708883
2006,41,V,Personenauto,1,503558001,,,,Sappemeersterweg,Schoollaan,Geert Veenhuizenweg,Menterwolde,Groningen,W,252041,579302,53.19157604,6.839141427
2006,48,V,Fiets,2,505353029,,,,Cesar Franckstraat,Handelstraat,Mozartlaan,Hengelo OV,Overijssel,K,252943,476923,52.27159506,6.82221554
2006,24,M,Personenauto,1,506348003,,,,Hengelosestraat,Enschedesestraat,Broeierdweg,Enschede,Overijssel,W,253392,474266,52.24764065,6.828018389
2006,22,M,Personenauto,1,506365001,,,,Postweg,Saterslostraat,Postweg,Dinkelland,Overijssel,W,253687,482756,52.32387382,6.834819881
2006,71,M,Bestelauto,5,507341002,,,,Windmolenweg,Twekkelerbeekweg,Geerdinkszijdeweg,Enschede,Overijssel,W,253774,470935,52.21764165,6.832638197
2006,28,M,Personenauto,1,507345001,,,,Transportcentrum,Transportcentrum,Transportcentrum,Enschede,Overijssel,W,254014,472581,52.23238871,6.836630683
2006,34,M,Personenauto,1,507371005,,,,Bornsestraat,Plegtsweg,Beekdorpweg,Dinkelland,Overijssel,W,253714,486059,52.35354738,6.836184712
2006,70,M,Personenauto,1,507501001,,,,Buinerstraat,Buinerstraat,PAARDETANGEDIJK,Borger-Odoorn,Drenthe,W,253829,550433,52.93190299,6.857080059
