"ORIG_ID,N,10,0","ONG,N,10,0","UMS,N,10,0","ONGSLA,N,10,0","ONGDOD,N,10,0","ONGZKHGEW,N,10,0","ONGOVGGEW,N,10,0","ONGERNST,N,10,0","BST,N,10,0","VWD,N,10,0","BSTSLA,N,10,0","BSTDODSLA,N,10,0","BSTZKHGEW,N,10,0","BSTOVGGEW,N,10,0","BSTERNST,N,10,0","PASSLA,N,10,0","PASDODSLA,N,10,0","PASZKHGEW,N,10,0","PASOVGGEW,N,10,0","PASERNST,N,10,0","SLA,N,10,0","DODSLA,N,10,0","ZKHGEW,N,10,0","OVGGEW,N,10,0","ERNST,N,10,0","WEGING,N,10,0","XCOR,N,20,5","YCOR,N,20,5","KRAA_,C,1"
24658,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,129145,516065,"J"
24659,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129163,535434,"J"
24660,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,129017,537687,"J"
24661,2,1,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,129799,515100,"J"
24662,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129508,517174,"J"
24663,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129542,524226,"J"
24664,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130118,479537,"J"
24665,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130411,480265,"J"
24666,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"130293,016","480709,712","J"
24667,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130400,482907,"J"
24668,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126153,504265,"J"
24669,6,5,1,0,1,0,1,13,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126385,504428,"J"
24670,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"126043,788","505155,212","J"
24671,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126466,512734,"J"
24672,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126352,546835,"J"
24673,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126311,546605,"J"
24674,2,0,2,0,0,2,0,4,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,126599,478474,"J"
24675,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126955,478206,"J"
24676,2,1,1,0,0,1,0,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126966,478397,"J"
24677,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126761,478931,"J"
24678,4,3,1,0,0,1,0,8,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126809,478756,"J"
24679,2,1,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126661,479024,"J"
24680,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,126823,480058,"J"
24681,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,126667,480047,"J"
24682,7,3,4,0,0,4,0,16,0,5,0,0,5,0,0,0,0,0,0,5,0,0,5,0,0,"126992,997","480887,225","J"
24683,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126530,481391,"J"
24684,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"126564,079","481327,342","J"
24685,11,11,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126606,62","481621,999","J"
24686,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"126808,23","481717,663","J"
